19:13 $ vw-varinfo ~/Documents/scratch/OpenNMT-py/vw/discriminator/data/wmt16_train.vw
FeatureName            HashVal   MinVal   MaxVal    Weight   RelScore
Street                  208135     0.00     0.00   +0.3162     19.92%
New                     241140     0.00     0.00   +0.3156     19.88%
Tourist                   4027     0.00     0.00   +0.3154     19.87%
runner                  217953     0.00     0.00   +0.3147     19.82%
guitar                  132424     0.00     0.00   +0.3144     19.80%
dress                   114593     0.00     0.00   +0.3143     19.80%
food                     99446     0.00     0.00   +0.3140     19.78%
looks                   251997     0.00     0.00   +0.3138     19.76%
throw                   235462     0.00     0.00   +0.3137     19.76%
possibly                188861     0.00     0.00   +0.3130     19.71%
praying                 259689     0.00     0.00   +0.3128     19.70%
down                    109913     0.00     0.00   +0.3128     19.70%
toy                     243356     0.00     0.00   +0.3127     19.69%
stairs                  181865     0.00     0.00   +0.3123     19.67%
wood                     85025     0.00     0.00   +0.3114     19.62%
onlookers                 3466     0.00     0.00   +0.3114     19.62%
Friends                 127370     0.00     0.00   +0.3108     19.58%
motorcycle               76121     0.00     0.00   +0.3107     19.57%
clothing                243448     0.00     0.00   +0.3104     19.55%
gentleman               251903     0.00     0.00   +0.3076     19.38%
rides                    57779     0.00     0.00   +0.3072     19.35%
water                   169051     0.00     0.00   +0.3071     19.34%
class                   127646     0.00     0.00   +0.3070     19.34%
climbing                186444     0.00     0.00   +0.3065     19.30%
Couple                   26535     0.00     0.00   +0.3064     19.30%
baseball                103533     0.00     0.00   +0.3061     19.28%
inside                  234742     0.00     0.00   +0.3056     19.25%
hat                     219284     0.00     0.00   +0.3056     19.25%
selling                  73026     0.00     0.00   +0.3052     19.23%
fall                    179719     0.00     0.00   +0.3052     19.22%
snowy                    19152     0.00     0.00   +0.3051     19.22%
Older                   124242     0.00     0.00   +0.3040     19.15%
Small                   254740     0.00     0.00   +0.3037     19.13%
construction            173920     0.00     0.00   +0.3006     18.93%
bull                    159124     0.00     0.00   +0.3005     18.93%
attempting              204383     0.00     0.00   +0.3005     18.93%
camera                  110644     0.00     0.00   +0.3000     18.90%
balls                   243085     0.00     0.00   +0.2999     18.89%
midair                  211842     0.00     0.00   +0.2994     18.86%
Crowd                    23969     0.00     0.00   +0.2993     18.85%
uniform                  36542     0.00     0.00   +0.2989     18.83%
Various                 119215     0.00     0.00   +0.2987     18.81%
